region,country,ico_member,calendar_year,imports_1k_bags,imports_kg,imports_lb
Europe,Croatia,member,1998.0,339.0510012,20343060.072,44848770.43238469
Europe,Cyprus,member,1998.0,49.7789994,2986739.9639999997,6584634.490217854
Europe,Czechia,member,1998.0,764.8390017,45890340.102,101170881.91325943
Europe,Denmark,member,1998.0,1013.7232012,60823392.072,134092626.09958313
Europe,Estonia,member,1998.0,134.6589964,8079539.784,17812336.18194346
Europe,Finland,member,1998.0,1167.9353022,70076118.132,154491395.28524017
Europe,France,member,1998.0,6576.0226523,394561359.138,869858898.0635171
Europe,Germany,member,1998.0,13739.5684148,824374104.888,1817433800.5034294
Europe,Greece,member,1998.0,704.455603,42267336.18,93183525.50776696
Europe,Hungary,member,1998.0,715.5939943,42935639.658,94656882.47362679
Europe,Ireland,member,1998.0,101.9779012,6118674.072000001,13489367.274858257
Europe,Italy,member,1998.0,5889.3935096,353363610.576,779033409.6144434
Europe,Latvia,member,1998.0,158.9554603,9537327.618,21026208.21863758
Europe,Lithuania,member,1998.0,185.1496673,11108980.038,24491108.697454873
Europe,Luxembourg,member,1998.0,223.47685916960683,13408611.550176408,29560928.351118106
Europe,Malta,member,1998.0,10.1044031,606264.1860000001,1336583.7392730764
Europe,Netherlands,member,1998.0,2862.0483243,171722899.458,378584188.8347799
Europe,Poland,member,1998.0,2292.9605138,137577630.828,303306757.1839368
Europe,Portugal,member,1998.0,761.5868043,45695208.258,100740689.83573374
Europe,Romania,member,1998.0,595.3020037,35718120.222,78744975.85137916
Europe,Slovakia,member,1998.0,258.9295347,15535772.081999999,34250514.57988287
Europe,Slovenia,member,1998.0,174.3027642,10458165.852,23056309.02037838
Europe,Spain,member,1998.0,3717.653605,223059216.3,491761394.2671123
Europe,Sweden,member,1998.0,1439.636799,86378207.94000001,190431351.2593873
Asia & Oceania,Japan,member,1998.0,6026.9650023,361617900.1380001,797231003.1101292
Europe,Norway,member,1998.0,706.8768005,42412608.029999994,93503795.11459495
Europe,Russian Federation,member,1998.0,1731.917618,103915057.08,229093485.589402
Europe,Switzerland,member,1998.0,1111.8350017,66710100.102,147070595.7907472
Africa,Tunisia,member,1998.0,147.417,8845020.0,19499931.182715688
Europe,United Kingdom,member,1998.0,3142.4080165,188544480.99,415669428.0155213
North America,United States of America,member,1998.0,21030.4011333,1261824067.9980001,2781845885.1031837
Europe,Austria,member,1999.0,1499.7770114,89986620.684,198386539.62378153
Europe,Belgium,member,1999.0,3003.0055122,180180330.732,397229633.14418197
Europe,Bulgaria,member,1999.0,366.9190043,22015140.257999998,48535076.23598744
Europe,Croatia,member,1999.0,352.0830048,21124980.288000003,46572609.42906013
Europe,Cyprus,member,1999.0,55.4585999,3327515.994,7335917.034940089
Europe,Czechia,member,1999.0,727.6767881,43660607.286,96255162.50642453
Europe,Denmark,member,1999.0,1093.7793024,65626758.143999994,144682235.6029411
