country,harvest_group,crop_year,crop_year_beg,crop_year_end,production_1k_bags,production_kg,production_lb
Madagascar,April,1993/94,1993,1994,441.859,26511540.0,58447940.82408115
Malawi,April,1993/94,1993,1994,62.111,3726660.0,8215878.939943521
Papua New Guinea,April,1993/94,1993,1994,1019.481,61168860.0,134854252.5087756
Paraguay,April,1993/94,1993,1994,66.5275,3991650.0,8800081.888507552
Peru,April,1993/94,1993,1994,665.497,39929820.0,88030184.45839857
Rwanda,April,1993/94,1993,1994,443.625,26617500.0,58681542.637092374
Timor-Leste,April,1993/94,1993,1994,0.0,0.0,0.0
Zimbabwe,April,1993/94,1993,1994,11.6,696000.0,1534417.3448076
Congo,July,1993/94,1993,1994,3.0,180000.0,396832.071933
Cuba,July,1993/94,1993,1994,285.404,17124240.0,37752486.885988645
Dominican Republic,July,1993/94,1993,1994,603.944,36236640.0,79888116.28383459
Haiti,July,1993/94,1993,1994,450.697,27041820.0,59617008.10799577
Philippines,July,1993/94,1993,1994,874.855,52491300.0,115723507.43031491
Tanzania,July,1993/94,1993,1994,734.375,44062500.0,97141184.27526562
Zambia,July,1993/94,1993,1994,26.606,1596360.0,3519371.368616466
Cameroon,October,1993/94,1993,1994,682.913,40974780.0,90333926.91332695
Central African Republic,October,1993/94,1993,1994,165.574,9934440.0,21901691.159411516
Colombia,October,1993/94,1993,1994,11422.422,685345320.0,1510927796.2510273
Costa Rica,October,1993/94,1993,1994,2358.753,141525180.0,312009613.3893932
Côte d'Ivoire,October,1993/94,1993,1994,2293.407,137604420.0,303365817.19854856
Democratic Republic of Congo,October,1993/94,1993,1994,980.261,58815660.0,129666334.55503817
El Salvador,October,1993/94,1993,1994,2378.482,142708920.0,314619313.3717819
Equatorial Guinea,October,1993/94,1993,1994,0.0,0.0,0.0
Ethiopia,October,1993/94,1993,1994,2967.004,178020240.0,392467448.2511662
Gabon,October,1993/94,1993,1994,2.884,173040.0,381487.898484924
Ghana,October,1993/94,1993,1994,45.381,2722860.0,6002878.752130491
