country,indicator_name,calendar_year,price_paid_cents_per_lb,price_paid_dollars_per_lb
India,other_milds,1997,130.1785,1.3017850000000002
Jamaica,other_milds,1997,286.7807,2.8678070000000004
Madagascar,other_milds,1997,58.7447,0.587447
Malawi,other_milds,1997,108.7488,1.087488
Mexico,other_milds,1997,136.1169,1.3611689999999999
Nicaragua,other_milds,1997,,
Panama,other_milds,1997,126.547,1.2654699999999999
Papua New Guinea,other_milds,1997,153.7373,1.537373
Peru,other_milds,1997,105.2832,1.052832
Rwanda,other_milds,1997,56.4162,0.564162
Sri Lanka,other_milds,1997,,
Uganda,other_milds,1997,80.314,0.80314
Venezuela,other_milds,1997,,
Zambia,other_milds,1997,121.892,1.21892
Zimbabwe,other_milds,1997,,
Angola,brazilian_naturals,1997,,
Brazil,brazilian_naturals,1997,145.4095,1.4540950000000001
Ethiopia,brazilian_naturals,1997,91.0557,0.9105570000000001
Indonesia,brazilian_naturals,1997,112.2585,1.122585
Philippines,brazilian_naturals,1997,79.7375,0.797375
Thailand,brazilian_naturals,1997,,
Viet Nam,brazilian_naturals,1997,,
Angola,robustas,1997,,
Benin,robustas,1997,,
Brazil,robustas,1997,77.8558,0.778558
Burundi,robustas,1997,40.1863,0.401863
Cameroon,robustas,1997,38.9016,0.38901600000000003
Central African Republic,robustas,1997,38.3562,0.383562
Congo,robustas,1997,,
Côte d'Ivoire,robustas,1997,39.2871,0.392871
Democratic Republic of Congo,robustas,1997,45.3592,0.453592
Ecuador,robustas,1997,61.193,0.61193
Gabon,robustas,1997,37.9027,0.379027
Ghana,robustas,1997,,
Guinea,robustas,1997,,
India,robustas,1997,76.3016,0.7630159999999999
Indonesia,robustas,1997,58.434,0.58434
Liberia,robustas,1997,,
Madagascar,robustas,1997,49.4841,0.494841
Nigeria,robustas,1997,,
Papua New Guinea,robustas,1997,75.4338,0.7543380000000001
Philippines,robustas,1997,72.9149,0.729149
Sierra Leone,robustas,1997,,
Sri Lanka,robustas,1997,,
Tanzania,robustas,1997,92.4844,0.9248439999999999
Thailand,robustas,1997,21.85,0.21850000000000003
Togo,robustas,1997,44.8863,0.448863
Trinidad & Tobago,robustas,1997,60.6263,0.606263
Uganda,robustas,1997,41.6871,0.416871
Viet Nam,robustas,1997,56.1426,0.561426
Colombia,colombian_milds,1998,102.0805,1.020805
Kenya,colombian_milds,1998,179.8972,1.798972
Tanzania,colombian_milds,1998,90.7025,0.907025
Bolivia (Plurinational State of),other_milds,1998,131.0938,1.310938
Burundi,other_milds,1998,52.2187,0.522187
Cameroon,other_milds,1998,66.8331,0.668331
Costa Rica,other_milds,1998,92.6592,0.926592
Cuba,other_milds,1998,188.5711,1.885711
Democratic Republic of Congo,other_milds,1998,63.1381,0.631381
Dominican Republic,other_milds,1998,95.2485,0.952485
Ecuador,other_milds,1998,110.5961,1.105961
El Salvador,other_milds,1998,85.0455,0.8504550000000001
Guatemala,other_milds,1998,102.4469,1.024469
Haiti,other_milds,1998,30.9468,0.309468
Honduras,other_milds,1998,93.2578,0.932578
India,other_milds,1998,99.4736,0.9947360000000001
Jamaica,other_milds,1998,215.4499,2.154499
Madagascar,other_milds,1998,50.3483,0.503483
Malawi,other_milds,1998,101.5223,1.015223
