country,harvest_group,crop_year,crop_year_beg,crop_year_end,consumption_1k_bags,consumption_kg,consumption_lb
Congo,July,1992/93,1992,1993,2.667,160020.0,352783.711948437
Cuba,July,1992/93,1992,1993,195.0,11700000.0,25794084.675645
Dominican Republic,July,1992/93,1992,1993,320.0,19200000.0,42328754.33952
Haiti,July,1992/93,1992,1993,330.0,19800000.0,43651527.91263
Philippines,July,1992/93,1992,1993,750.0,45000000.0,99208017.98325
Tanzania,July,1992/93,1992,1993,19.2,1152000.0,2539725.2603712
Zambia,July,1992/93,1992,1993,1.432,85920.0,189421.175669352
Cameroon,October,1992/93,1992,1993,83.333,4999980.0,11023069.016797563
Central African Republic,October,1992/93,1992,1993,28.0,1680000.0,3703766.004708
Colombia,October,1992/93,1992,1993,1303.0,78180000.0,172357396.576233
Costa Rica,October,1992/93,1992,1993,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1992/93,1992,1993,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1992/93,1992,1993,200.0,12000000.0,26455471.4622
El Salvador,October,1992/93,1992,1993,230.0,13800000.0,30423792.18153
Equatorial Guinea,October,1992/93,1992,1993,0.0,0.0,0.0
Ethiopia,October,1992/93,1992,1993,1331.0,79860000.0,176061162.580941
Gabon,October,1992/93,1992,1993,0.8,48000.0,105821.8858488
Ghana,October,1992/93,1992,1993,17.0,1020000.0,2248715.074287
Guatemala,October,1992/93,1992,1993,300.0,18000000.0,39683207.1933
Guinea,October,1992/93,1992,1993,62.5,3750000.0,8267334.8319375
Guyana,October,1992/93,1992,1993,0.0,0.0,0.0
Honduras,October,1992/93,1992,1993,240.0,14400000.0,31746565.75464
India,October,1992/93,1992,1993,917.0,55020000.0,121298336.654187
Jamaica,October,1992/93,1992,1993,6.0,360000.0,793664.143866
Kenya,October,1992/93,1992,1993,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1992/93,1992,1993,0.0,0.0,0.0
Liberia,October,1992/93,1992,1993,3.0,180000.0,396832.071933
Mexico,October,1992/93,1992,1993,1300.0,78000000.0,171960564.5043
Nepal,October,1992/93,1992,1993,0.0,0.0,0.0
Nicaragua,October,1992/93,1992,1993,65.6,3936000.0,8677394.6396016
