country,calendar_year,exports_1k_bags,exports_kg,exports_lb
Mexico,1995.0,3626.4919986,217589519.916,479702777.88429475
Nepal,1995.0,0.25,15000.0,33069.33932775
Nicaragua,1995.0,681.1789992,40870739.95200001,90104557.8699278
Nigeria,1995.0,15.191,911460.0,2009425.334911401
Panama,1995.0,180.533,10831980.0,23880428.14742676
Papua New Guinea,1995.0,1002.0520002,60123120.012,132548790.47465765
Paraguay,1995.0,20.59553,1235731.7999999998,2724322.2808194193
Peru,1995.0,1760.467,105628020.0,232869922.39322424
Philippines,1995.0,57.3240006,3439440.036,7582667.309862178
Rwanda,1995.0,313.899,18833940.0,41521730.18256559
Sierra Leone,1995.0,71.475,4288500.0,9454524.113803726
Sri Lanka,1995.0,21.896,1313760.0,2896345.015681656
Tanzania,1995.0,744.6529993,44679179.958000004,98500730.86111395
Thailand,1995.0,1209.5229999,72571379.99400002,159992506.03364494
Timor-Leste,1995.0,0.0,0.0,0.0
Togo,1995.0,200.316,12018960.0,26497271.107110277
Trinidad & Tobago,1995.0,4.0599984,243599.90399999998,537045.8590388882
Uganda,1995.0,3079.261,184755660.0,407316507.55082715
Venezuela,1995.0,96.7520001,5805120.006,12798098.887781609
Viet Nam,1995.0,3546.405,212784300.0,469109081.354517
Yemen,1995.0,76.8740028,4612440.1680000005,10168689.936302416
Zambia,1995.0,20.742,1244520.0,2743696.945344762
Zimbabwe,1995.0,156.975,9418500.0,20764238.163894225
Angola,1996.0,51.831,3109860.0,6856067.706786441
Bolivia (Plurinational State of),1996.0,123.4450001,7406700.006,16328978.386484131
Brazil,1996.0,15250.6090018,915036540.1079999,2017310256.1414516
Burundi,1996.0,224.076,13444560.0,29640181.116819635
Cameroon,1996.0,563.549,33812940.0,74544772.43525673
Central African Republic,1996.0,98.328,5899680.0,13006567.989676008
Colombia,1996.0,10588.4309984,635305859.9039999,1400609670.5382252
Congo,1996.0,12.634,758040.0,1671192.132267174
Costa Rica,1996.0,2430.1340004,145808040.024,321451703.4845206
Côte d'Ivoire,1996.0,2750.6029989,165036179.93400002,363842495.70620346
Cuba,1996.0,112.1710001,6730260.006,14837683.460159916
Democratic Republic of Congo,1996.0,881.561,52893660.0,116610559.38844247
Dominican Republic,1996.0,452.7040004,27162240.023999996,59882488.81702988
Ecuador,1996.0,1539.4110001,92364660.00599998,203629218.90871152
El Salvador,1996.0,2314.1469997,138848819.982,306109249.5494955
Equatorial Guinea,1996.0,1.659,99540.0,219448.135778949
Ethiopia,1996.0,1838.231,110293860.0,243156338.80715683
Gabon,1996.0,1.681,100860.0,222358.237639791
Ghana,1996.0,4.359,261540.0,576597.000518649
Guatemala,1996.0,3978.998,238739880.0,526331340.18575436
Guinea,1996.0,32.43,1945800.0,4289754.69759573
Guyana,1996.0,0.3375579,20253.474000000002,44651.26695145081
Haiti,1996.0,156.468,9388080.0,20697173.54373755
Honduras,1996.0,2059.76,123585600.00000001,272459609.4949054
India,1996.0,3103.1759998,186190559.98800004,410479920.52446437
Indonesia,1996.0,6440.28,386416800.0,851903218.7428871
Jamaica,1996.0,27.2850003,1637100.018,3609187.733913842
Kenya,1996.0,1901.584,114095040.0,251536506.22488064
Lao People's Democratic Republic,1996.0,144.1669992,8650019.952,19070029.66563305
Liberia,1996.0,0.0,0.0,0.0
Madagascar,1996.0,718.0490001,43082940.006,94981624.15303397
Malawi,1996.0,60.151,3609060.0,7956615.3196139615
Mexico,1996.0,4633.4970009,278009820.054,612906738.3874962
Nepal,1996.0,0.0833333,4999.998,11023.108700004756
Nicaragua,1996.0,822.3559998,49341359.988,108779078.42238924
Nigeria,1996.0,6.9240001,415440.006,915888.4352490997
Panama,1996.0,138.598,8315880.0,18333377.16858998
Papua New Guinea,1996.0,1090.0759997,65404559.982,144192372.50846243
Paraguay,1996.0,15.9135658,954813.948,2105004.4294187096
Peru,1996.0,1679.374,100762440.0,222143154.6568033
Philippines,1996.0,27.0319997,1621919.982,3575721.483147745
Rwanda,1996.0,265.306,15918360.0,35093976.558752164
Sierra Leone,1996.0,28.512,1710720.0,3771492.011651232
Sri Lanka,1996.0,11.536,692160.0,1525951.593939696
Tanzania,1996.0,969.6369995,58178219.97,128261019.84482743
Thailand,1996.0,872.6859998,52361159.988,115436597.81585187
Timor-Leste,1996.0,0.0,0.0,0.0
Togo,1996.0,85.49,5129400.0,11308391.27651739
Trinidad & Tobago,1996.0,3.7569977,225419.862,496965.72717950516
Uganda,1996.0,4654.503,279270180.0,615685356.4361215
Venezuela,1996.0,494.5670001,29674020.005999997,65420015.78645707
Viet Nam,1996.0,3779.415,226764900.0,499931028.38155305
Yemen,1996.0,42.007002,2520420.12,5556575.213117892
Zambia,1996.0,35.824,2149440.0,4738704.048309264
Zimbabwe,1996.0,150.362,9021720.0,19889487.999996584
Angola,1997.0,50.494,3029640.0,6679212.880061634
Bolivia (Plurinational State of),1997.0,110.9550001,6657300.006,14676834.19366974
Brazil,1997.0,16801.2600051,1008075600.306,2222426272.9696264
Burundi,1997.0,528.764,31725840.0,69943504.5611936
Cameroon,1997.0,1368.03,82081800.0,180959393.12216732
Central African Republic,1997.0,202.778,12166680.0,26822937.960809957
Colombia,1997.0,10918.8630016,655131780.0960001,1444318342.6925013
Congo,1997.0,2.67,160200.0,353180.54402037
Costa Rica,1997.0,2099.2390003,125954340.01799999,277681787.3238695
Côte d'Ivoire,1997.0,4712.9820006,282778920.036,623420804.0936779
Cuba,1997.0,106.6630001,6399780.006,14109099.77609093
