region,country,ico_member,calendar_year,re_exports_1k_bags,re_exports_kg,re_exports_lb
Europe,Germany,member,1996.0,3613.4425635,216806553.80999997,477976633.09486526
Europe,Greece,member,1996.0,50.6188984,3037133.904,6695734.110346006
Europe,Hungary,member,1996.0,31.9430004,1916580.0239999997,4225335.677496215
Europe,Ireland,member,1996.0,11.385,683100.0,1505977.712985735
Europe,Italy,member,1996.0,826.0727337,49564364.022,109270718.16050945
Europe,Latvia,member,1996.0,15.9851411,959108.466,2114472.2209514515
Europe,Lithuania,member,1996.0,83.3801728,5002810.368,11029308.910118522
Europe,Luxembourg,member,1996.0,45.96335992792969,2757801.5956757814,6079911.784400855
Europe,Malta,member,1996.0,0.1565903,9395.418,20713.351064536684
Europe,Netherlands,member,1996.0,574.5991092,34475946.552,76006451.67823072
Europe,Poland,member,1996.0,168.6178517,10117071.102,22304323.81833411
Europe,Portugal,member,1996.0,98.8646047,5931876.282,13077548.64131267
Europe,Romania,member,1996.0,0.39,23400.0,51588.16935129
Europe,Slovakia,member,1996.0,16.0764387,964586.322,2126548.8262082883
Europe,Slovenia,member,1996.0,10.8013881,648083.286,1428779.0731584833
Europe,Spain,member,1996.0,595.0753047,35704518.282,78714988.70675409
Europe,Sweden,member,1996.0,224.5805079,13474830.474,29706916.088574156
Asia & Oceania,Japan,member,1996.0,6.1659999,369959.994,815622.1719518903
Europe,Norway,member,1996.0,6.5970003,395820.01800000004,872633.7658638743
Europe,Russian Federation,member,1996.0,64.8500002,3891000.0119999996,8578186.64807382
Europe,Switzerland,member,1996.0,242.5340017,14552040.102,32081756.802937582
Africa,Tunisia,member,1996.0,,,
Europe,United Kingdom,member,1996.0,552.3925986,33143555.916,73069033.140964
North America,United States of America,member,1996.0,2048.5323287,122911939.72200002,270974442.80658484
Europe,Austria,member,1997.0,222.1238083,13327428.498,29381950.357779168
Europe,Belgium,member,1997.0,1606.8694203744785,96412165.2224687,212552440.47099435
Europe,Bulgaria,member,1997.0,19.2360001,1154160.0059999998,2544487.2584621315
Europe,Croatia,member,1997.0,23.9010009,1434060.054,3161561.2361398325
Europe,Cyprus,member,1997.0,0.8449999,50699.994,111774.35370005926
Europe,Czechia,member,1997.0,75.645004,4538700.24,10006121.222900026
Europe,Denmark,member,1997.0,140.6133057,8436798.342000002,18599956.480759777
Europe,Estonia,member,1997.0,42.2529983,2535179.898,5589114.953590176
Europe,Finland,member,1997.0,205.0960062,12305760.372,27129557.69517647
Europe,France,member,1997.0,1165.9244044,69955464.264,154225399.03843367
Europe,Germany,member,1997.0,3935.1165587,236106993.52199998,520526819.09559256
Europe,Greece,member,1997.0,49.7497993,2984987.958,6580771.978156638
Europe,Hungary,member,1997.0,73.3109968,4398659.807999999,9697384.918539176
Europe,Ireland,member,1997.0,9.3250002,559500.012,1233486.3833805465
Europe,Italy,member,1997.0,825.7128305,49542769.830000006,109223111.11632569
Europe,Latvia,member,1997.0,23.6763121,1420578.726,3131839.995458453
Europe,Lithuania,member,1997.0,78.7771562,4726629.3719999995,10420434.038611857
Europe,Luxembourg,member,1997.0,51.246134525521384,3074768.0715312827,6778703.247439965
Europe,Malta,member,1997.0,0.6111935,36671.61,80847.06098566068
Europe,Netherlands,member,1997.0,557.0450076,33422700.456,73684441.50861391
Europe,Poland,member,1997.0,287.0644599,17223867.593999997,37972128.133481525
Europe,Portugal,member,1997.0,108.409903,6504594.180000001,14340175.475181852
Europe,Romania,member,1997.0,0.6760001,40560.006,89419.50676997173
Europe,Slovakia,member,1997.0,18.428847,1105730.82,2437719.179448751
