country,harvest_group,crop_year,crop_year_beg,crop_year_end,exports_1k_bags,exports_kg,exports_lb
Indonesia,April,1992/93,1992,1993,5115.478,306928680.0,676661911.2225597
Madagascar,April,1992/93,1992,1993,719.651,43179060.0,95193532.46621846
Malawi,April,1992/93,1992,1993,129.161,7749660.0,17085075.74764607
Papua New Guinea,April,1992/93,1992,1993,943.111,56586660.0,124752230.73093452
Paraguay,April,1992/93,1992,1993,49.291,2957460.0,6520083.219216501
Peru,April,1992/93,1992,1993,1161.953,69717180.0,153700072.1595884
Rwanda,April,1992/93,1992,1993,641.875,38512500.0,84905528.72399813
Timor-Leste,April,1992/93,1992,1993,0.0,0.0,0.0
Zimbabwe,April,1992/93,1992,1993,114.581,6874860.0,15156471.87805169
Congo,July,1992/93,1992,1993,0.504,30240.0,66667.788084744
Cuba,July,1992/93,1992,1993,116.237,6974220.0,15375523.181758707
Dominican Republic,July,1992/93,1992,1993,421.815,25308900.0,55796573.47413947
Haiti,July,1992/93,1992,1993,169.855,10191300.0,22467970.526059907
Philippines,July,1992/93,1992,1993,21.851,1311060.0,2890392.534602661
Tanzania,July,1992/93,1992,1993,953.606,57216360.0,126140481.59591347
Zambia,July,1992/93,1992,1993,28.875,1732500.0,3819508.692355125
Cameroon,October,1992/93,1992,1993,927.402,55644120.0,122674285.72493602
Central African Republic,October,1992/93,1992,1993,155.845,9350700.0,20614764.750132795
Colombia,October,1992/93,1992,1993,14529.131,871747860.0,1921875052.7053268
Costa Rica,October,1992/93,1992,1993,2662.319,159739140.0,352164521.6388642
Côte d'Ivoire,October,1992/93,1992,1993,5114.536,306872160.0,676537305.9519727
Democratic Republic of Congo,October,1992/93,1992,1993,995.157,59709420.0,131636738.06954283
El Salvador,October,1992/93,1992,1993,2990.951,179457060.0,395635094.1266928
Equatorial Guinea,October,1992/93,1992,1993,1.686,101160.0,223019.624426346
Ethiopia,October,1992/93,1992,1993,1160.171,69610260.0,153464353.90886018
Gabon,October,1992/93,1992,1993,3.185,191100.0,421303.383035535
Ghana,October,1992/93,1992,1993,42.302,2538120.0,5595596.768969922
Guatemala,October,1992/93,1992,1993,4018.483,241108980.0,531554311.6391792
Guinea,October,1992/93,1992,1993,15.507,930420.0,2051224.979821677
Guyana,October,1992/93,1992,1993,0.1745,10470.0,23082.3988507695
Honduras,October,1992/93,1992,1993,1896.551,113793060.0,250870754.28553435
India,October,1992/93,1992,1993,1817.497,109049820.0,240413700.08067057
Jamaica,October,1992/93,1992,1993,26.313,1578780.0,3480614.102924343
Kenya,October,1992/93,1992,1993,1411.908,84714480.0,186763459.00625938
Lao People's Democratic Republic,October,1992/93,1992,1993,131.7127,7902762.000000001,17422607.88029655
Liberia,October,1992/93,1992,1993,0.0,0.0,0.0
Mexico,October,1992/93,1992,1993,2884.561,173073660.0,381562106.08237547
Nepal,October,1992/93,1992,1993,0.0516,3096.0,6825.5116372476
Nicaragua,October,1992/93,1992,1993,516.694,31001639.999999996,68346916.85844983
Nigeria,October,1992/93,1992,1993,13.132,787920.0,1737066.256208052
Panama,October,1992/93,1992,1993,149.81,8988600.0,19816470.89876091
Sierra Leone,October,1992/93,1992,1993,43.084,2585040.0,5699037.662387124
Sri Lanka,October,1992/93,1992,1993,7.181,430860.0,949883.702850291
Thailand,October,1992/93,1992,1993,1041.945,62516699.99999999,137825731.06340986
Togo,October,1992/93,1992,1993,213.648,12818880.0,28260792.83478053
Trinidad & Tobago,October,1992/93,1992,1993,4.621,277260.0,611253.668134131
Uganda,October,1992/93,1992,1993,2010.074,120604440.0,265887276.71955103
Venezuela,October,1992/93,1992,1993,478.873,28732380.0,63344054.927590504
Viet Nam,October,1992/93,1992,1993,2175.447,130526820.0,287762380.13014305
Yemen,October,1992/93,1992,1993,47.387,2843220.0,6268227.130896357
Angola,April,1993/94,1993,1994,27.608,1656480.0,3651913.280642088
Bolivia (Plurinational State of),April,1993/94,1993,1994,36.523,2191380.0,4831165.921069653
Brazil,April,1993/94,1993,1994,18760.9786,1125658715.9999998,2481652669.776224
Burundi,April,1993/94,1993,1994,352.87,21172200.0,46676711.07433257
Ecuador,April,1993/94,1993,1994,1589.007,95340420.0,210189646.70868018
Indonesia,April,1993/94,1993,1994,5302.288,318137280.0,701372644.3418276
Madagascar,April,1993/94,1993,1994,521.359,31281540.000000004,68963990.73030566
Malawi,April,1993/94,1993,1994,75.111,4506660.0,9935484.58498652
Papua New Guinea,April,1993/94,1993,1994,1028.481,61708860.0,136044748.7245746
Paraguay,April,1993/94,1993,1994,51.5275,3091650.0,6815921.528842553
Peru,April,1993/94,1993,1994,845.497,50729820.0,111840108.77437857
Rwanda,April,1993/94,1993,1994,447.425,26845500.0,59184196.59487417
Timor-Leste,April,1993/94,1993,1994,0.0,0.0,0.0
Zimbabwe,April,1993/94,1993,1994,56.51,3390600.0,7474993.46164461
Congo,July,1993/94,1993,1994,0.0,0.0,0.0
Cuba,July,1993/94,1993,1994,132.304,7938240.0,17500823.481674545
Dominican Republic,July,1993/94,1993,1994,286.944,17216640.0,37956194.016247585
Haiti,July,1993/94,1993,1994,120.697,7241820.0,15965480.195365768
Philippines,July,1993/94,1993,1994,98.855,5931300.0,13076278.156978905
Tanzania,July,1993/94,1993,1994,878.692,52721520.0,116231055.6503172
Zambia,July,1993/94,1993,1994,25.606,1536360.0,3387094.011305466
Cameroon,October,1993/94,1993,1994,625.356,37521360.0,82720439.05857772
Central African Republic,October,1993/94,1993,1994,146.241,8774460.0,19344373.01051795
Colombia,October,1993/94,1993,1994,12684.602,761076120.0,1677885631.1018252
Costa Rica,October,1993/94,1993,1994,2073.753,124425180.00000001,274310566.55575824
Côte d'Ivoire,October,1993/94,1993,1994,2715.072,162904320.0,359142549.0690914
Democratic Republic of Congo,October,1993/94,1993,1994,705.261,42315660.0,93290061.29451317
El Salvador,October,1993/94,1993,1994,2083.342,125000520.0,275578974.13501334
Equatorial Guinea,October,1993/94,1993,1994,1.47,88200.0,194447.71524717
Ethiopia,October,1993/94,1993,1994,1332.004,79920240.0,176193969.04768124
Gabon,October,1993/94,1993,1994,1.191,71460.0,157542.332557401
Ghana,October,1993/94,1993,1994,27.681,1660860.0,3661569.527725791
Guatemala,October,1993/94,1993,1994,3138.818,188329080.0,415194550.1201984
Guinea,October,1993/94,1993,1994,27.473,1648380.0,3634055.8374051033
Guyana,October,1993/94,1993,1994,0.3155,18930.0,41733.5062316205
Honduras,October,1993/94,1993,1994,1661.179,99670740.0,219736368.14052966
India,October,1993/94,1993,1994,2906.848,174410880.0,384510171.5447657
Jamaica,October,1993/94,1993,1994,17.036,1022160.0,2253477.059150196
Kenya,October,1993/94,1993,1994,1459.785,87587100.0,193096502.04223815
Lao People's Democratic Republic,October,1993/94,1993,1994,150.1667,9010001.999999998,19863654.23211374
Liberia,October,1993/94,1993,1994,0.0,0.0,0.0
Mexico,October,1993/94,1993,1994,3270.738,196244280.0,432644579.0966655
Nepal,October,1993/94,1993,1994,0.1333,7998.000000000001,17632.5717295563
Nicaragua,October,1993/94,1993,1994,590.73,35443800.0,78140203.28432703
Nigeria,October,1993/94,1993,1994,5.319,319140.0,703583.263537209
Panama,October,1993/94,1993,1994,94.356,5661360.0,12481162.326436715
Sierra Leone,October,1993/94,1993,1994,64.451,3867059.9999999995,8525407.95605126
Sri Lanka,October,1993/94,1993,1994,47.79,2867400.0,6321534.90589269
Thailand,October,1993/94,1993,1994,1105.201,66312060.0,146193067.5774745
Togo,October,1993/94,1993,1994,193.939,11636340.0,25653738.39953803
Trinidad & Tobago,October,1993/94,1993,1994,10.079,604740.0,1333223.484337569
Uganda,October,1993/94,1993,1994,3066.706,184002360.0,405655765.32978755
Venezuela,October,1993/94,1993,1994,445.951,26757060.0,58989219.770197764
Viet Nam,October,1993/94,1993,1994,2753.216,165192960.0,364188136.5863622
Yemen,October,1993/94,1993,1994,82.3433,4940598.0,10892154.116266867
Angola,April,1994/95,1994,1995,11.802,708120.0,1561137.370984422
Bolivia (Plurinational State of),April,1994/95,1994,1995,85.944,5156640.0,11368445.196736583
Brazil,April,1994/95,1994,1995,15958.047,957482820.0,2110888285.0047317
Burundi,April,1994/95,1994,1995,580.127,34807620.0,76737666.4647585
Ecuador,April,1994/95,1994,1995,2155.766,129345960.0,285159029.46090525
Indonesia,April,1994/95,1994,1995,4225.878,253552680.0,558987974.158694
Madagascar,April,1994/95,1994,1995,474.539,28472340.0,62770764.86100463
Malawi,April,1994/95,1994,1995,87.112,5226720.0,11522945.150075832
Papua New Guinea,April,1994/95,1994,1995,1135.159,68109540.0,150155832.64779744
Paraguay,April,1994/95,1994,1995,38.2643,2295857.9999999995,5061500.483355297
Peru,April,1994/95,1994,1995,938.628,56317680.0,124159231.33810931
Rwanda,April,1994/95,1994,1995,22.349,1340940.0,2956266.6585435392
Timor-Leste,April,1994/95,1994,1995,0.0,0.0,0.0
Zimbabwe,April,1994/95,1994,1995,97.969,5878140.0,12959080.418401359
Congo,July,1994/95,1994,1995,15.585,935100.0,2061542.613691935
Cuba,July,1994/95,1994,1995,125.315,7518900.0,16576337.031427965
Dominican Republic,July,1994/95,1994,1995,394.67,23680200.0,52205904.60993237
Haiti,July,1994/95,1994,1995,123.246,7394760.0,16302655.179151505
Philippines,July,1994/95,1994,1995,87.764,5265840.0,11609189.987042604
Tanzania,July,1994/95,1994,1995,613.607,36816420.0,81166312.38753077
Zambia,July,1994/95,1994,1995,19.955,1197300.0,2639594.665141005
Cameroon,October,1994/95,1994,1995,383.755,23025300.0,50762097.254882805
Central African Republic,October,1994/95,1994,1995,234.512,14070720.0,31020627.617717233
Colombia,October,1994/95,1994,1995,9342.47,560548200.0,1235797242.3572981
Costa Rica,October,1994/95,1994,1995,1897.942,113876520.0,251054752.08955395
Côte d'Ivoire,October,1994/95,1994,1995,2252.779,135166740.0,297991652.72571725
Democratic Republic of Congo,October,1994/95,1994,1995,1077.805,64668300.0,142569197.09658235
El Salvador,October,1994/95,1994,1995,1659.922,99595320.0,219570095.50238976
Equatorial Guinea,October,1994/95,1994,1995,3.393,203580.0,448817.073356223
Ethiopia,October,1994/95,1994,1995,1320.73,79243800.0,174702674.12135702
Gabon,October,1994/95,1994,1995,6.794,407640.0,898692.365570934
Ghana,October,1994/95,1994,1995,35.176,2110560.0,4652988.320771736
Guatemala,October,1994/95,1994,1995,3564.003,213840180.0,471436898.28847593
Guinea,October,1994/95,1994,1995,148.024,8881440.0,19580223.538603466
Guyana,October,1994/95,1994,1995,0.1202,7212.0,15899.7383487822
Honduras,October,1994/95,1994,1995,1636.63,98197800.0,216489091.29590192
India,October,1994/95,1994,1995,2069.564,124173839.99999999,273756456.7059824
Jamaica,October,1994/95,1994,1995,24.34,1460400.0,3219630.87694974
Kenya,October,1994/95,1994,1995,1325.306,79518360.0,175307975.30841216
Lao People's Democratic Republic,October,1994/95,1994,1995,162.1747,9730482.0,21452040.73870423
Liberia,October,1994/95,1994,1995,0.0,0.0,0.0
Mexico,October,1994/95,1994,1995,3257.777,195466620.0,430930132.26855767
Nepal,October,1994/95,1994,1995,0.4772,28632.0,63122.7549088092
Nicaragua,October,1994/95,1994,1995,563.569,33814140.0,74547417.98240297
Nigeria,October,1994/95,1994,1995,11.631,697860.0,1538517.942884241
Panama,October,1994/95,1994,1995,143.577,8614620.0,18991986.130641446
Sierra Leone,October,1994/95,1994,1995,67.738,4064280.0,8960203.629532518
Sri Lanka,October,1994/95,1994,1995,22.448,1346880.0,2969362.116917328
Thailand,October,1994/95,1994,1995,1208.885,72533100.0,159908113.09290823
Togo,October,1994/95,1994,1995,199.113,11946780.0,26338141.446265142
Trinidad & Tobago,October,1994/95,1994,1995,4.435,266100.0,586650.079674285
Uganda,October,1994/95,1994,1995,2792.753,167565180.0,369417986.4623672
Venezuela,October,1994/95,1994,1995,65.596,3935760.0,8676865.530172355
Viet Nam,October,1994/95,1994,1995,3206.609,192396540.0,424161764.4496684
Yemen,October,1994/95,1994,1995,80.8655,4851930.0,10696674.63763267
Angola,April,1995/96,1995,1996,48.109,2886540.0,6363731.382874899
Bolivia (Plurinational State of),April,1995/96,1995,1996,110.485,6629100.0,14614663.822505835
Brazil,April,1995/96,1995,1996,13760.2022,825612132.0,1820163183.0810082
Burundi,April,1995/96,1995,1996,464.07,27844200.0,61385953.20731577
Ecuador,April,1995/96,1995,1996,1438.233,86293980.0,190245660.43747148
Indonesia,April,1995/96,1995,1996,4349.762,260985720.0,575375022.29181
Madagascar,April,1995/96,1995,1996,631.976,37918560.0,83596115.16397654
Malawi,April,1995/96,1995,1996,81.235,4874100.0,10745551.121159086
Papua New Guinea,April,1995/96,1995,1996,999.863,59991780.0,132259235.31304839
Paraguay,April,1995/96,1995,1996,18.2539,1095234.0,2414577.6526192627
Peru,April,1995/96,1995,1996,1830.939,109856340.0,242191772.31764504
Rwanda,April,1995/96,1995,1996,317.699,19061940.0,42024384.14034739
Timor-Leste,April,1995/96,1995,1996,0.0,0.0,0.0
Zimbabwe,April,1995/96,1995,1996,114.45,6867000.0,15139143.54424395
Congo,July,1995/96,1995,1996,8.755,525300.0,1158088.263257805
Cuba,July,1995/96,1995,1996,122.855,7371300.0,16250934.732442904
Dominican Republic,July,1995/96,1995,1996,553.625,33217500.0,73232051.94130237
Haiti,July,1995/96,1995,1996,171.709,10302540.0,22713212.7465145
