country,harvest_group,crop_year,crop_year_beg,crop_year_end,openstock_1k_bags,openstock_kg,openstock_lb
Malawi,April,1992/93,1992,1993,19.0,1140000.0,2513269.788909
Papua New Guinea,April,1992/93,1992,1993,95.0,5700000.0,12566348.944545
Paraguay,April,1992/93,1992,1993,115.0,6900000.0,15211896.090765
Peru,April,1992/93,1992,1993,100.0,6000000.0,13227735.7311
Rwanda,April,1992/93,1992,1993,10.0,600000.0,1322773.57311
Timor-Leste,April,1992/93,1992,1993,0.0,0.0,0.0
Zimbabwe,April,1992/93,1992,1993,98.0,5880000.0,12963181.016478
Congo,July,1992/93,1992,1993,11.0,660000.0,1455050.930421
Cuba,July,1992/93,1992,1993,219.0,13140000.0,28968741.251109
Dominican Republic,July,1992/93,1992,1993,300.0,18000000.0,39683207.1933
Haiti,July,1992/93,1992,1993,30.0,1800000.0,3968320.71933
Philippines,July,1992/93,1992,1993,1554.0,93240000.0,205559013.261294
Tanzania,July,1992/93,1992,1993,386.772,23206320.0,51161178.04189009
Zambia,July,1992/93,1992,1993,1.0,60000.0,132277.357311
Cameroon,October,1992/93,1992,1993,991.0,59460000.0,131086861.095201
Central African Republic,October,1992/93,1992,1993,64.0,3840000.0,8465750.867904
Colombia,October,1992/93,1992,1993,5913.941,354836460.0,782280486.7731726
Costa Rica,October,1992/93,1992,1993,229.345,13760700.0,30337150.512491297
Côte d'Ivoire,October,1992/93,1992,1993,3574.0,214440000.0,472759275.029514
Democratic Republic of Congo,October,1992/93,1992,1993,21.0,1260000.0,2777824.503531
El Salvador,October,1992/93,1992,1993,354.43,21265800.0,46883063.75173773
Equatorial Guinea,October,1992/93,1992,1993,2.0,120000.0,264554.714622
Ethiopia,October,1992/93,1992,1993,4652.0,279120000.0,615354266.210772
Gabon,October,1992/93,1992,1993,1.122,67320.0,148415.194902942
Ghana,October,1992/93,1992,1993,43.0,2580000.0,5687926.364373
Guatemala,October,1992/93,1992,1993,153.317,9199020.0,20280367.590850588
Guinea,October,1992/93,1992,1993,10.0,600000.0,1322773.57311
Guyana,October,1992/93,1992,1993,0.0,0.0,0.0
Honduras,October,1992/93,1992,1993,318.342,19100520.0,42109438.48109836
India,October,1992/93,1992,1993,1316.0,78960000.0,174077002.22127602
Jamaica,October,1992/93,1992,1993,8.0,480000.0,1058218.858488
Kenya,October,1992/93,1992,1993,617.033,37021980.0,81619494.61367826
Lao People's Democratic Republic,October,1992/93,1992,1993,0.0,0.0,0.0
Liberia,October,1992/93,1992,1993,0.0,0.0,0.0
Mexico,October,1992/93,1992,1993,985.0,59100000.0,130293196.951335
Nepal,October,1992/93,1992,1993,0.0,0.0,0.0
Nicaragua,October,1992/93,1992,1993,39.6,2376000.0,5238183.3495156
Nigeria,October,1992/93,1992,1993,0.0,0.0,0.0
Panama,October,1992/93,1992,1993,60.832,3649920.0,8046696.199942752
Sierra Leone,October,1992/93,1992,1993,45.0,2700000.0,5952481.078995
Sri Lanka,October,1992/93,1992,1993,1.0,60000.0,132277.357311
Thailand,October,1992/93,1992,1993,273.0,16380000.0,36111718.545903
Togo,October,1992/93,1992,1993,154.0,9240000.0,20370713.025894
Trinidad & Tobago,October,1992/93,1992,1993,4.293,257580.0,567866.694936123
Uganda,October,1992/93,1992,1993,2900.0,174000000.0,383604336.2019
Venezuela,October,1992/93,1992,1993,362.545,21752700.0,47956494.5063165
Viet Nam,October,1992/93,1992,1993,85.0,5100000.0,11243575.371435
Yemen,October,1992/93,1992,1993,0.0,0.0,0.0
Angola,April,1993/94,1993,1994,111.0,6660000.0,14682786.661521
Bolivia (Plurinational State of),April,1993/94,1993,1994,25.2,1512000.0,3333389.4042372
Brazil,April,1993/94,1993,1994,28921.0,1735260000.0,3825593450.791431
Burundi,April,1993/94,1993,1994,0.0,0.0,0.0
Ecuador,April,1993/94,1993,1994,100.0,6000000.0,13227735.7311
Indonesia,April,1993/94,1993,1994,1562.0,93720000.0,206617232.119782
Madagascar,April,1993/94,1993,1994,455.333,27319980.0,60230245.93648957
Malawi,April,1993/94,1993,1994,25.0,1500000.0,3306933.932775
Papua New Guinea,April,1993/94,1993,1994,49.0,2940000.0,6481590.508239
Paraguay,April,1993/94,1993,1994,105.0,6300000.0,13889122.517655
Peru,April,1993/94,1993,1994,500.0,30000000.0,66138678.6555
Rwanda,April,1993/94,1993,1994,6.0,360000.0,793664.143866
Timor-Leste,April,1993/94,1993,1994,0.0,0.0,0.0
Zimbabwe,April,1993/94,1993,1994,53.243,3194580.0,7042843.335309573
Congo,July,1993/94,1993,1994,11.0,660000.0,1455050.930421
Cuba,July,1993/94,1993,1994,192.0,11520000.0,25397252.603712
Dominican Republic,July,1993/94,1993,1994,196.0,11760000.0,25926362.032956
Haiti,July,1993/94,1993,1994,30.0,1800000.0,3968320.71933
Philippines,July,1993/94,1993,1994,1102.0,66120000.0,145769647.756722
Tanzania,July,1993/94,1993,1994,200.4,12024000.0,26508382.4051244
Zambia,July,1993/94,1993,1994,0.0,0.0,0.0
Cameroon,October,1993/94,1993,1994,240.641,14438460.0,31831355.54067635
Central African Republic,October,1993/94,1993,1994,14.0,840000.0,1851883.002354
Colombia,October,1993/94,1993,1994,5028.688,301721280.0,665181559.3815379
Costa Rica,October,1993/94,1993,1994,190.0,11400000.0,25132697.88909
Côte d'Ivoire,October,1993/94,1993,1994,655.0,39300000.0,86641669.038705
Democratic Republic of Congo,October,1993/94,1993,1994,6.0,360000.0,793664.143866
El Salvador,October,1993/94,1993,1994,134.78,8086800.0,17828342.21837658
Equatorial Guinea,October,1993/94,1993,1994,2.0,120000.0,264554.714622
Ethiopia,October,1993/94,1993,1994,3986.0,239160000.0,527257546.241646
Gabon,October,1993/94,1993,1994,0.2,12000.0,26455.4714622
Ghana,October,1993/94,1993,1994,20.3,1218000.0,2685230.3534133
Guatemala,October,1993/94,1993,1994,153.317,9199020.0,20280367.590850588
Guinea,October,1993/94,1993,1994,8.334,500040.0,1102399.495829874
Guyana,October,1993/94,1993,1994,0.0,0.0,0.0
Honduras,October,1993/94,1993,1994,100.0,6000000.0,13227735.7311
India,October,1993/94,1993,1994,1405.0,84300000.0,185849687.021955
Jamaica,October,1993/94,1993,1994,1.27,76200.0,167992.24378497
Kenya,October,1993/94,1993,1994,470.673,28240380.0,62259380.597640306
Lao People's Democratic Republic,October,1993/94,1993,1994,0.0,0.0,0.0
Liberia,October,1993/94,1993,1994,0.0,0.0,0.0
Mexico,October,1993/94,1993,1994,201.25,12075000.0,26620818.15883875
Nepal,October,1993/94,1993,1994,0.0,0.0,0.0
Nicaragua,October,1993/94,1993,1994,4.6,276000.0,608475.8436306
Nigeria,October,1993/94,1993,1994,0.0,0.0,0.0
Panama,October,1993/94,1993,1994,41.0,2460000.0,5423371.649751
Sierra Leone,October,1993/94,1993,1994,32.0,1920000.0,4232875.433952
Sri Lanka,October,1993/94,1993,1994,19.0,1140000.0,2513269.788909
Thailand,October,1993/94,1993,1994,253.0,15180000.0,33466171.399683
Togo,October,1993/94,1993,1994,25.0,1500000.0,3306933.932775
Trinidad & Tobago,October,1993/94,1993,1994,4.0,240000.0,529109.429244
Uganda,October,1993/94,1993,1994,3000.0,180000000.0,396832071.933
Venezuela,October,1993/94,1993,1994,249.0,14940000.0,32937061.970439002
Viet Nam,October,1993/94,1993,1994,0.0,0.0,0.0
Yemen,October,1993/94,1993,1994,0.0,0.0,0.0
Angola,April,1994/95,1994,1995,96.0,5760000.0,12698626.301856
Bolivia (Plurinational State of),April,1994/95,1994,1995,11.0,660000.0,1455050.930421
Brazil,April,1994/95,1994,1995,29227.0,1753620000.0,3866070322.1285973
Burundi,April,1994/95,1994,1995,38.574,2314440.0,5102466.780914514
Ecuador,April,1994/95,1994,1995,230.0,13800000.0,30423792.18153
