country,calendar_year,exports_1k_bags,exports_kg,exports_lb,population_boy,population_mid
Congo,1992.0,0.336,20160.0,44445.192056496,2487063.0,2520958.0
Costa Rica,1992.0,2431.3400009,145880400.05400002,321611230.0435764,3280368.0,3321940.0
Côte d'Ivoire,1992.0,4546.3679999,272782079.99399996,601381544.3900687,12601218.0,12838314.0
Cuba,1992.0,162.71,9762600.0,21522848.80807281,10752100.0,10783748.0
Democratic Republic of Congo,1992.0,954.229,57253740.0,126222890.38951822,37786532.0,38332302.0
Dominican Republic,1992.0,369.4670007,22168020.042000003,48872118.46621739,7352892.0,7427340.0
Ecuador,1992.0,1273.4350006,76406100.036,168446616.5866997,10803275.0,10914222.0
El Salvador,1992.0,2120.0920003,127205520.01799999,280440167.0558758,5505793.0,5552206.0
Equatorial Guinea,1992.0,2.766,165960.0,365879.170322226,492075.0,501334.0
Ethiopia,1992.0,734.461,44067660.0,97152560.12799437,51132739.0,52011554.0
Gabon,1992.0,1.007,60419.99999999999,133203.29881217697,1023595.0,1037445.9999999999
Ghana,1992.0,32.245,1934699.9999999998,4265283.386493195,16039953.0,16241548.0
Guatemala,1992.0,3327.9880003,199679280.018,440217457.8424035,9450394.0,9576630.0
Guinea,1992.0,57.52,3451200.0,7608593.59252872,6738991.0,6832195.0
Guyana,1992.0,0.538998,32339.879999999997,71297.23103591437,744024.0,744998.0
Haiti,1992.0,165.976,9958560.0,21954866.657050535,7135751.0,7205780.0
Honduras,1992.0,1960.071,117604260.0,259273012.0219291,5269783.0,5344774.0
India,1992.0,1816.3410004,108980460.024,240260787.50853,898183926.0,907574049.0
Indonesia,1992.0,4603.6959999,276221759.994,608964740.7299938,186971822.0,188558416.0
Jamaica,1992.0,22.4269995,1345619.9700000002,2966584.226275119,2422555.0,2434574.0
Kenya,1992.0,1384.291,83057460.0,183110355.2294015,24283525.0,24655723.0
Lao People's Democratic Republic,1992.0,101.85,6111000.0,13472448.84212535,4499083.0,4561106.0
Liberia,1992.0,0.0,0.0,0.0,2000711.0,2052626.0000000002
Madagascar,1992.0,736.406,44184360.0,97409839.58796427,12430329.0,12623342.0
Malawi,1992.0,128.022,7681319.999999999,16934411.83766884,9965845.0,10115420.0
Mexico,1992.0,3332.0409999,199922459.994,440753577.918674,84163130.0,84993164.0
Nepal,1992.0,0.0,0.0,0.0,20395655.0,20702133.0
Nicaragua,1992.0,635.946,38156760.0,84121256.2725012,4377357.0,4427172.0
Nigeria,1992.0,11.391,683460.0,1506771.377129601,98905598.0,100182045.0
Panama,1992.0,125.4040001,7524240.006,16588109.72945638,2528014.0,2554382.0
Papua New Guinea,1992.0,917.1739996,55030439.975999996,121321352.86144817,4060562.0,4136644.0
Paraguay,1992.0,40.3690006,2422140.036,5339904.716654173,4222506.0,4277051.0
Peru,1992.0,1061.043,63662580.0,140351964.0333354,22813187.0,23047248.0
Philippines,1992.0,41.3159998,2478959.988,5465171.268205805,63778802.0,64543525.0
Rwanda,1992.0,644.525,38671500.0,85256063.72087228,7561449.0,7657208.0
Sierra Leone,1992.0,47.02,2821200.0,6219681.34076322,4313030.0,4301566.0
Sri Lanka,1992.0,14.724,883440.0,1947651.809047164,17520930.0,17624457.0
Tanzania,1992.0,827.7859996,49667159.975999996,109497344.4461325,27235264.0,27580723.0
Thailand,1992.0,1163.7760006,69826560.03600001,153941213.86133277,56516670.0,56939020.0
Timor-Leste,1992.0,0.0,0.0,0.0,778105.0,783705.0
Togo,1992.0,313.177,18790620.0,41426225.930587046,4047789.0,4106219.0
Trinidad & Tobago,1992.0,2.451,147060.0,324211.802769261,1281049.0,1285502.0
Uganda,1992.0,1961.034,117662040.0,259400395.11701956,18475188.0,18801966.0
Venezuela,1992.0,135.818001,8149080.060000001,17965646.247542758,20464069.0,20700461.0
Viet Nam,1992.0,1937.611,116256660.0,256302062.57672402,69084372.0,69788747.0
Yemen,1992.0,36.9890016,2219340.0960000004,4892807.381220352,14160548.0,14433771.0
Zambia,1992.0,30.514,1830840.0,4036311.280987854,7977384.0,8074337.0
Zimbabwe,1992.0,162.318,9739080.0,21470996.084006898,10508843.0,10641501.0
Angola,1993.0,38.878,2332680.0,5142679.097537058,12833385.0,13038270.0
Bolivia (Plurinational State of),1993.0,47.319,2839140.0,6259232.270599209,7469282.0,7544489.0
Brazil,1993.0,17837.7479992,1070264879.9520001,2359530165.713754,157170929.0,158440875.0
Burundi,1993.0,417.609,25056540.0,55240214.9092894,5835935.0,5555220.0
Cameroon,1993.0,704.53,42271800.0,93193366.54631883,12305754.0,12486773.0
Central African Republic,1993.0,137.197,8231820.0,18148056.590997268,3039988.0,3089146.0
Colombia,1993.0,13568.3620035,814101720.21,1794787068.8619654,34276843.0,34614735.0
Congo,1993.0,0.504,30240.0,66667.788084744,2554853.0,2594168.0
Costa Rica,1993.0,2363.9200001,141835200.00599998,312693090.50784683,3363511.0,3405372.0
Côte d'Ivoire,1993.0,4033.1070005,241986420.03,533488735.77863395,13075409.0,13316448.0
Cuba,1993.0,116.195,6971700.0,15369967.532751646,10815396.0,10840934.0
Democratic Republic of Congo,1993.0,919.506,55170360.0,121629823.71160837,38878073.0,39580844.0
Dominican Republic,1993.0,331.4320003,19885920.018,43840949.12798256,7501788.0,7576074.0
Ecuador,1993.0,1598.6660008,95919960.048,211467313.808769,11025169.0,11132829.0
El Salvador,1993.0,2947.0709997,176824259.982,389830763.64820284,5598618.0,5630987.0
Equatorial Guinea,1993.0,2.463,147780.0,325799.131056993,510594.0,520236.0
Ethiopia,1993.0,1166.778,70006680.0,154338310.40861395,52890369.0,53791672.0
Gabon,1993.0,2.178,130680.0,288100.084223358,1051297.0,1065390.0
Ghana,1993.0,47.482,2848920.0,6280793.479840902,16443142.0,16643633.999999998
Guatemala,1993.0,3750.6870001,225041220.006,496130964.47395045,9702867.0,9831868.0
Guinea,1993.0,15.469,928140.0,2046198.440243859,6925399.0,7046098.0
Guyana,1993.0,0.0529992,3179.952,7010.594115597151,745972.0,747189.0
Haiti,1993.0,158.542,9512520.0,20971516.782800563,7275809.0,7345940.0
Honduras,1993.0,1705.317,102319020.0,225574826.13752258,5419764.0,5496840.0
India,1993.0,2101.5930003,126095580.01799999,277993168.2229796,916964171.0,926351297.0
Indonesia,1993.0,5662.0940006,339725640.036,748966831.2458357,190145010.0,191737287.0
Jamaica,1993.0,24.3539995,1461239.9700000002,3221482.6938134157,2446593.0,2459062.0
Kenya,1993.0,1438.7990001,86327940.006,190320529.4349372,25027921.0,25391830.0
